HostName              Worker     Sector TaskType      TimeStart                TimeEnd            Duration

ip-172-31-36-231			001c751d			2			AP			2021-07-30 03:18:20			2021-07-30 03:18:20			2.80551ms
ip-172-31-36-231			001c751d			2			AP			2021-07-30 03:18:20			2021-07-30 03:18:20			3.726633ms
ip-172-31-36-231			81346a03			2			GET			2021-07-30 03:27:04			2021-07-30 03:27:04			688.697µs
ip-172-31-36-231			001c751d			3			AP			2021-07-30 03:27:04			2021-07-30 03:27:04			5.427607ms
ip-172-31-36-231			001c751d			4			AP			2021-07-30 03:27:04			2021-07-30 03:27:04			4.000551ms
ip-172-31-36-231			81346a03			2			PC1			2021-07-30 03:27:04			2021-07-30 03:27:04			12.745323ms
ip-172-31-36-231			77a69335			2			GET			2021-07-30 03:27:04			2021-07-30 03:27:04			1.18404ms
ip-172-31-36-231			81346a03			4			GET			2021-07-30 03:27:04			2021-07-30 03:27:04			585.075µs
ip-172-31-36-231			81346a03			4			PC1			2021-07-30 03:27:04			2021-07-30 03:27:04			7.767657ms
ip-172-31-36-231			77a69335			4			GET			2021-07-30 03:27:04			2021-07-30 03:27:04			801.64µs
ip-172-31-36-231			77a69335			2			PC2			2021-07-30 03:27:04			2021-07-30 03:27:04			47.698506ms
ip-172-31-36-231			77a69335			4			PC2			2021-07-30 03:27:04			2021-07-30 03:27:04			8.953336ms
ip-172-31-36-231			001c751d			3			AP			2021-07-30 03:27:39			2021-07-30 03:27:39			2.961135ms
ip-172-31-36-231			81346a03			3			GET			2021-07-30 03:27:39			2021-07-30 03:27:39			546.214µs
ip-172-31-36-231			81346a03			3			PC1			2021-07-30 03:27:39			2021-07-30 03:27:39			6.398742ms
ip-172-31-36-231			77a69335			3			GET			2021-07-30 03:27:39			2021-07-30 03:27:39			692.088µs
ip-172-31-36-231			77a69335			3			PC2			2021-07-30 03:27:39			2021-07-30 03:27:39			7.871279ms
ip-172-31-36-231			001c751d			2			GET			2021-07-30 03:29:28			2021-07-30 03:29:28			95.413µs
ip-172-31-36-231			001c751d			4			GET			2021-07-30 03:29:28			2021-07-30 03:29:28			72.792µs
ip-172-31-36-231			001c751d			3			GET			2021-07-30 03:29:28			2021-07-30 03:29:28			101.433µs
ip-172-31-36-231			001c751d			2			C1			2021-07-30 03:29:28			2021-07-30 03:29:28			7.322445ms
ip-172-31-36-231			001c751d			4			C1			2021-07-30 03:29:28			2021-07-30 03:29:28			7.199132ms
ip-172-31-36-231			001c751d			3			C1			2021-07-30 03:29:28			2021-07-30 03:29:28			6.773522ms
ip-172-31-36-231			77a69335			2			C2			2021-07-30 03:29:28			2021-07-30 03:31:29			2m1.638826486s
ip-172-31-36-231			77a69335			3			C2			2021-07-30 03:29:28			2021-07-30 03:31:30			2m2.898961074s
ip-172-31-36-231			77a69335			4			C2			2021-07-30 03:29:28			2021-07-30 03:31:33			2m5.335449689s
ip-172-31-36-231			001c751d			3			GET			2021-07-30 03:32:11			2021-07-30 03:32:11			497.352µs
ip-172-31-36-231			001c751d			4			GET			2021-07-30 03:32:11			2021-07-30 03:32:11			106.743µs
ip-172-31-36-231			001c751d			3			FIN			2021-07-30 03:32:11			2021-07-30 03:32:11			283.798µs
ip-172-31-36-231			001c751d			2			GET			2021-07-30 03:32:11			2021-07-30 03:32:11			145.524µs
ip-172-31-36-231			001c751d			4			FIN			2021-07-30 03:32:11			2021-07-30 03:32:11			459.942µs
ip-172-31-36-231			001c751d			2			FIN			2021-07-30 03:32:11			2021-07-30 03:32:11			348.088µs


